Results_Name,VSPAERO_History
Results_Timestamp,1764436570
Results_Date,11,29,2025
Results_Time,12,16,10
Alpha,-5.000000000000000000e+00,-5.000000000000000000e+00,-5.000000000000000000e+00,-5.000000000000000000e+00,-5.000000000000000000e+00
Beta,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CDi,0.000000000000000000e+00,-9.526726600000000214e-05,-4.515369500000000069e-05,-4.353196699999999900e-05,-4.284251400000000016e-05
CDiw,0.000000000000000000e+00,8.940866799999999572e-05,1.340658530000000048e-04,1.372974340000000109e-04,1.365864909999999995e-04
CDo,7.716837160999999619e-03,7.721139024999999594e-03,7.725002956999999990e-03,7.725135971999999747e-03,7.725144877000000160e-03
CDtot,7.716837160999999619e-03,7.625871759000000215e-03,7.679849261999999697e-03,7.681604005000000276e-03,7.682302363000000078e-03
CDwtot,7.716837160999999619e-03,7.810547693000000416e-03,7.859068808999999239e-03,7.862433405999999514e-03,7.861731368000000539e-03
CFxi,0.000000000000000000e+00,-2.166734402000000149e-03,-2.900765593999999822e-03,-2.919782721999999824e-03,-2.920280038000000206e-03
CFxiw,0.000000000000000000e+00,-1.979062334000000149e-03,-2.719060666000000081e-03,-2.736482302999999807e-03,-2.738408203999999953e-03
CFxo,7.746314225000000206e-03,7.750632522000000003e-03,7.754511212999999972e-03,7.754644736999999864e-03,7.754653676000000141e-03
CFxtot,7.746314225000000206e-03,5.583898119999999854e-03,4.853745619000000150e-03,4.834862013999999611e-03,4.834373638000000369e-03
CFxwtot,7.746314225000000206e-03,5.771570188000000289e-03,5.035450547000000325e-03,5.018162433999999623e-03,5.016245471999999754e-03
CFyi,0.000000000000000000e+00,1.607070000000000056e-06,-1.253605999999999903e-06,-1.622082000000000032e-06,-1.654120000000000097e-06
CFyiw,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CFyo,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CFytot,0.000000000000000000e+00,1.607070000000000056e-06,-1.253605999999999903e-06,-1.622082000000000032e-06,-1.654120000000000097e-06
CFywtot,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CFzi,0.000000000000000000e+00,-2.367281824599999987e-02,-3.263782190600000160e-02,-3.287379591799999973e-02,-3.288739084700000037e-02
CFziw,0.000000000000000000e+00,-2.364663540300000061e-02,-3.261723877799999755e-02,-3.285344723499999953e-02,-3.286730322399999960e-02
CFzo,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CFztot,0.000000000000000000e+00,-2.367281824599999987e-02,-3.263782190600000160e-02,-3.287379591799999973e-02,-3.288739084700000037e-02
CFzwtot,0.000000000000000000e+00,-2.364663540300000061e-02,-3.261723877799999755e-02,-3.285344723499999953e-02,-3.286730322399999960e-02
CLi,0.000000000000000000e+00,-2.377157937200000126e-02,-3.276644352000000066e-02,-3.300317703200000147e-02,-3.301676357200000050e-02
CLiw,0.000000000000000000e+00,-2.372913946400000140e-02,-3.273010208899999884e-02,-3.296693009800000240e-02,-3.298090121299999955e-02
CLo,6.751357699999999519e-04,6.755121339999999724e-04,6.758501839999999988e-04,6.758618220000000079e-04,6.758626010000000394e-04
