2 0.000000 100.000000 5791.461216
25 16 
1 -25.000000 0.000000 -25.000000 97.039859 0.000002 24.106805 0.000213 
2 26.666667 0.000000 -25.000000 97.048416 0.000010 24.046380 0.000338 
3 26.666667 0.000000 25.066863 97.099380 0.000013 23.951003 -0.000194 
4 -25.000000 0.000000 25.066863 97.069079 0.000000 24.104729 -0.000344 
5 0.833333 0.000000 0.033432 98.137004 -0.006704 -2.325230 0.036372 
6 -25.000000 0.000000 0.033432 97.056068 0.000001 24.123477 -0.000182 
7 0.833333 0.000000 -25.000000 97.018137 0.000008 24.068618 0.000818 
8 26.666667 0.000000 0.033432 97.358668 0.000551 22.826891 0.000022 
9 0.833333 0.000000 25.066863 97.105417 -0.000002 24.050177 -0.000787 
10 -12.083333 0.000000 -12.483284 97.002343 0.000009 24.117203 0.000891 
11 -25.000000 0.000000 -12.483284 97.040966 0.000002 24.116051 0.000147 
12 -12.083333 0.000000 -25.000000 97.026555 0.000004 24.097914 0.000514 
13 0.833333 0.000000 -12.483284 96.917943 0.000070 23.959910 0.003283 
14 -12.083333 0.000000 0.033432 97.067302 -0.000005 24.187227 -0.000708 
15 13.750000 0.000000 -12.483284 97.039439 0.000055 23.875908 0.001329 
16 13.750000 0.000000 -25.000000 97.033405 0.000011 24.045297 0.000634 
17 26.666667 0.000000 -12.483284 97.071651 0.000038 23.940076 0.000397 
18 13.750000 0.000000 0.033432 97.997966 0.002515 20.127109 -0.000870 
19 13.750000 0.000000 12.550147 97.229904 -0.000022 23.535682 -0.000758 
20 0.833333 0.000000 12.550147 97.259720 -0.000078 23.895826 -0.003046 
21 26.666667 0.000000 12.550147 97.348597 -0.000080 22.931588 -0.000261 
22 13.750000 0.000000 25.066863 97.102179 0.000005 23.997675 -0.000472 
23 -12.083333 0.000000 12.550147 97.121476 -0.000009 24.109736 -0.001386 
24 -25.000000 0.000000 12.550147 97.070027 -0.000000 24.114445 -0.000410 
25 -12.083333 0.000000 25.066863 97.087409 -0.000001 24.091975 -0.000639 
1 1 12 10 11 
2 12 7 13 10 
3 10 13 5 14 
4 11 10 14 6 
5 7 16 15 13 
6 16 2 17 15 
7 15 17 8 18 
8 13 15 18 5 
9 5 18 19 20 
10 18 8 21 19 
11 19 21 3 22 
12 20 19 22 9 
13 6 14 23 24 
14 14 5 20 23 
15 23 20 9 25 
16 24 23 25 4 
